SOURCE,FREQUENCY,SERIESID,GEOLEVEL,GEOID,GEONAME,MARKET,PERIOD,YEAR,QUARTER,MONTH,SUPPRESSED,VALUE1,VALUE2,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2013Q1,2013,1,3,0,5.4,5.1,,,,,,,,,,,,https://www.fhfa.gov/data/national-mortgage-database-aggregate-statistics
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2013Q2,2013,2,6,0,5.3,5,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2013Q3,2013,3,9,0,5.2,4.9,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2013Q4,2013,4,12,0,5.2,4.9,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2014Q1,2014,1,3,0,5.1,4.8,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2014Q2,2014,2,6,0,5.1,4.8,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2014Q3,2014,3,9,0,5.1,4.8,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2014Q4,2014,4,12,0,5,4.7,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2015Q1,2015,1,3,0,5,4.7,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2015Q2,2015,2,6,0,5,4.7,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2015Q3,2015,3,9,0,4.9,4.6,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2015Q4,2015,4,12,0,4.9,4.6,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2016Q1,2016,1,3,0,4.8,4.5,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2016Q2,2016,2,6,0,4.8,4.5,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2016Q3,2016,3,9,0,4.7,4.4,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2016Q4,2016,4,12,0,4.7,4.4,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2017Q1,2017,1,3,0,4.6,4.4,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2017Q2,2017,2,6,0,4.6,4.3,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2017Q3,2017,3,9,0,4.6,4.3,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2017Q4,2017,4,12,0,4.6,4.3,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2018Q1,2018,1,3,0,4.5,4.3,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2018Q2,2018,2,6,0,4.5,4.3,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2018Q3,2018,3,9,0,4.5,4.3,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2018Q4,2018,4,12,0,4.5,4.3,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2019Q1,2019,1,3,0,4.5,4.4,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2019Q2,2019,2,6,0,4.5,4.3,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2019Q3,2019,3,9,0,4.5,4.3,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2019Q4,2019,4,12,0,4.5,4.3,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2020Q1,2020,1,3,0,4.4,4.2,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2020Q2,2020,2,6,0,4.4,4.1,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2020Q3,2020,3,9,0,4.3,4,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2020Q4,2020,4,12,0,4.2,3.9,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2021Q1,2021,1,3,0,4.1,3.7,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2021Q2,2021,2,6,0,4,3.6,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2021Q3,2021,3,9,0,3.9,3.6,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2021Q4,2021,4,12,0,3.9,3.5,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2022Q1,2022,1,3,0,3.8,3.5,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2022Q2,2022,2,6,0,3.8,3.5,,,,,,,,,,,,
NMDB,Quarterly,AVE_INTRATE,National,USA,United States,All Mortgages,2022Q3,2022,3,9,0,3.9,3.6,,,,,,,,,,,,
